label,value,caseReference
CaseInitiation_v1,Initiated from analytics review,106191
CaseSummary_1_v1,Hanna Gould oddity: 7.11,106191
state,Created_v1,106181
CaseTag_v1,Alert for Libby Ramos,106181
CaseInitiation_v1,Initiated from analytics review,106181
CaseSummary_1_v1,Libby Ramos oddity: 10.66,106181
state,Created_v1,106171
CaseTag_v1,Alert for Baker Ferrell,106171
CaseInitiation_v1,Initiated from analytics review,106171
CaseSummary_1_v1,Baker Ferrell oddity: 18.71,106171
state,Created_v1,106161
CaseTag_v1,Alert for Ignatius Dudley,106161
CaseInitiation_v1,Initiated from analytics review,106161
CaseSummary_1_v1,Ignatius Dudley oddity: 11.69,106161
state,Created_v1,106151
CaseTag_v1,Alert for Austin Hebert,106151
CaseInitiation_v1,Initiated from analytics review,106151
CaseSummary_1_v1,Austin Hebert oddity: 13.76,106151
state,Created_v1,106141
CaseTag_v1,Alert for Gavin Best,106141
CaseInitiation_v1,Initiated from analytics review,106141
CaseSummary_1_v1,Gavin Best oddity: 6.68,106141
state,Created_v1,106131
CaseTag_v1,Alert for Stewart Crane,106131
CaseInitiation_v1,Initiated from analytics review,106131
CaseSummary_1_v1,Stewart Crane oddity: 15.22,106131
state,Created_v1,106121
CaseTag_v1,Alert for Geoffrey Newman,106121
CaseInitiation_v1,Initiated from analytics review,106121
CaseSummary_1_v1,Geoffrey Newman oddity: 26.75,106121
state,Created_v1,106111
CaseTag_v1,Alert for Mira Henry,106111
CaseInitiation_v1,Initiated from analytics review,106111
CaseSummary_1_v1,Mira Henry oddity: 14.38,106111
state,Created_v1,106101
CaseTag_v1,Alert for Maggie Rice,106101
CaseInitiation_v1,Initiated from analytics review,106101
CaseSummary_1_v1,Maggie Rice oddity: 12.46,106101
state,Created_v1,106091
CaseTag_v1,Alert for Maggie Rice,106091
CaseInitiation_v1,Initiated from analytics review,106091
CaseSummary_1_v1,Maggie Rice oddity: 12.46,106091
state,Created_v1,106081
CaseTag_v1,Alert for Lee Lyons,106081
CaseInitiation_v1,Initiated from analytics review,106081
CaseSummary_1_v1,Lee Lyons oddity: 44.09,106081
state,Created_v1,106071
CaseTag_v1,Alert for Guy Armstrong,106071
CaseInitiation_v1,Initiated from analytics review,106071
CaseSummary_1_v1,Guy Armstrong oddity: 30.89,106071
state,Created_v1,106061
CaseTag_v1,Alert for Dana Clarke,106061
CaseInitiation_v1,Initiated from analytics review,106061
CaseSummary_1_v1,Dana Clarke oddity: 19.29,106061
state,Created_v1,106051
CaseTag_v1,Alert for Orli Bowman,106051
CaseInitiation_v1,Initiated from analytics review,106051
CaseSummary_1_v1,Orli Bowman oddity: 51.29,106051
state,Created_v1,106041
CaseTag_v1,Alert for Troy Crawford,106041
CaseInitiation_v1,Initiated from analytics review,106041
CaseSummary_1_v1,Troy Crawford oddity: 50.26,106041
state,Created_v1,106031
CaseTag_v1,Alert for Rahim Lambert,106031
CaseInitiation_v1,Initiated from analytics review,106031
CaseSummary_1_v1,Rahim Lambert oddity: 32.00,106031
state,Created_v1,106021
CaseTag_v1,Alert for Adena Vaughn,106021
CaseInitiation_v1,Initiated from analytics review,106021
CaseSummary_1_v1,Adena Vaughn oddity: 51.78,106021
state,Created_v1,106011
CaseTag_v1,Alert for Hope Wolfe,106011
CaseInitiation_v1,Initiated from analytics review,106011
CaseSummary_1_v1,Hope Wolfe oddity: 38.73,106011
state,Created_v1,106001
CaseTag_v1,Alert for Rahim Lambert,106001
CaseInitiation_v1,Initiated from analytics review,106001
CaseSummary_1_v1,Rahim Lambert oddity: 32.00,106001
state,Created_v1,105991
CaseTag_v1,Alert for Adena Vaughn,105991
CaseInitiation_v1,Initiated from analytics review,105991
CaseSummary_1_v1,Adena Vaughn oddity: 51.78,105991
state,Created_v1,105981
CaseTag_v1,Alert for Hope Wolfe,105981
CaseInitiation_v1,Initiated from analytics review,105981
CaseSummary_1_v1,Hope Wolfe oddity: 38.73,105981
state,Created_v1,105971
CaseTag_v1,Alert for Eagan Baldwin,105971
CaseInitiation_v1,Initiated from analytics review,105971
CaseSummary_1_v1,Eagan Baldwin oddity: 51.51,105971
state,Created_v1,105961
CaseTag_v1,Alert for Hope Wolfe,105961
CaseInitiation_v1,Initiated from analytics review,105961
CaseSummary_1_v1,Hope Wolfe oddity: 38.73,105961
state,Created_v1,105951
CaseTag_v1,Alert for Wynne Christian,105951
CaseInitiation_v1,Initiated from analytics review,105951
CaseSummary_1_v1,Wynne Christian oddity: 53.09,105951
state,Created_v1,105941
CaseTag_v1,Alert for Keelie Lamb,105941
CaseInitiation_v1,Initiated from analytics review,105941
CaseSummary_1_v1,Keelie Lamb oddity: 51.43,105941
state,Created_v1,105931
CaseTag_v1,Alert for Keelie Lamb,105931
CaseInitiation_v1,Initiated from analytics review,105931
CaseSummary_1_v1,Keelie Lamb oddity: 51.43,105931
state,Created_v1,105921
CaseTag_v1,Alert for Ashely Small,105921
CaseInitiation_v1,Initiated from analytics review,105921
CaseSummary_1_v1,Ashely Small oddity: 52.21,105921
state,Created_v1,105911
CaseTag_v1,Alert for Adena Vaughn,105911
CaseInitiation_v1,Initiated from analytics review,105911
CaseSummary_1_v1,Adena Vaughn oddity: 51.78,105911
state,Created_v1,105901
CaseTag_v1,Alert for Kameko Harmon,105901
CaseInitiation_v1,Initiated from analytics review,105901
CaseSummary_1_v1,Kameko Harmon oddity: 51.30,105901
state,Created_v1,105891
CaseTag_v1,Alert for Troy Crawford,105891
CaseInitiation_v1,Initiated from analytics review,105891
CaseSummary_1_v1,Troy Crawford oddity: 50.26,105891
state,Created_v1,105881
CaseTag_v1,Alert for Carolyn Paul,105881
CaseInitiation_v1,Initiated from analytics review,105881
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,105881
state,Created_v1,105871
CaseTag_v1,Alert for Orli Bowman,105871
CaseInitiation_v1,Initiated from analytics review,105871
CaseSummary_1_v1,Orli Bowman oddity: 51.29,105871
state,Created_v1,105861
CaseTag_v1,Alert for Orli Bowman,105861
CaseInitiation_v1,Initiated from analytics review,105861
CaseSummary_1_v1,Orli Bowman oddity: 51.29,105861
state,Created_v1,105851
CaseTag_v1,Alert for Solomon Hanson,105851
CaseInitiation_v1,Initiated from analytics review,105851
CaseSummary_1_v1,Solomon Hanson oddity: 48.04,105851
state,Created_v1,105791
CaseTag_v1,Alert for Shana Tanner,105791
CaseInitiation_v1,Initiated from analytics review,105791
CaseSummary_1_v1,Shana Tanner oddity: 46.50,105791
state,ReferredUp_v1,105731
CaseTag_v1,Alert for Calvin Campos,105731
CaseInitiation_v1,Initiated from analytics review,105731
CaseSummary_1_v1,Calvin Campos oddity: 57.12,105731
state,ReferredUp_v1,105721
CaseTag_v1,Alert for Lacota Clemons,105721
CaseInitiation_v1,Initiated from analytics review,105721
CaseSummary_1_v1,Lacota Clemons oddity: 46.59,105721
state,ReferredUp_v1,105691
CaseTag_v1,Alert for Zelda Graham,105691
CaseInitiation_v1,Initiated from analytics review,105691
CaseSummary_1_v1,Zelda Graham oddity: 46.32,105691
state,Created_v1,105681
CaseTag_v1,Alert for Raja White,105681
CaseInitiation_v1,Initiated from analytics review,105681
CaseSummary_1_v1,Raja White oddity: 46.54,105681
state,Created_v1,105671
CaseTag_v1,Alert for Raja White,105671
CaseInitiation_v1,Initiated from analytics review,105671
CaseSummary_1_v1,Raja White oddity: 46.54,105671
state,ReferredUp_v1,105651
CaseTag_v1,Alert for Theodore Ferrell,105651
CaseInitiation_v1,Initiated from analytics review,105651
CaseSummary_1_v1,Theodore Ferrell oddity: 46.78,105651
state,Created_v1,105641
CaseTag_v1,Alert for John Wilson,105641
CaseInitiation_v1,Initiated from analytics review,105641
CaseSummary_1_v1,John Wilson oddity: 55.5,105641
state,Created_v1,105631
CaseTag_v1,Alert for Carolyn Paul,105631
CaseInitiation_v1,Initiated from analytics review,105631
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,105631
state,Investigating_v1,105621
CaseTag_v1,Alert for Troy Crawford,105621
CaseInitiation_v1,Initiated from analytics review,105621
CaseSummary_1_v1,Troy Crawford oddity: 50.26,105621
state,Created_v1,105611
CaseTag_v1,test,105611
CaseInitiation_v1,test,105611
CaseSummary_1_v1,test,105611
state,Created_v1,105601
CaseTag_v1,test,105601
CaseInitiation_v1,test,105601
CaseSummary_1_v1,test,105601
state,Created,109971
Divison_v1,Sales,109971
JobGrade_v1,8,109971
Region_v1,Italy,109971
state,Created,109961
Divison_v1,PSG,109961
JobGrade_v1,9,109961
Region_v1,France,109961
state,Created,109951
Divison_v1,PSG,109951
JobGrade_v1,8,109951
Region_v1,France,109951
